a	Một
a-horizon	một chân trời
a-ok	được rồi
aardvark	lợn đất
aardwolf	chó sói đất
ab	ab
aba	ba
abaca	bàn tính
abacist	người theo chủ nghĩa thảo mộc
aback	sửng sốt
abactinal	loại bỏ vi khuẩn
abacus	bàn tính
abaddon	thủ phủ
abaft	sau
abalienate	tẩy chay
abalienation	bãi bỏ
abalone	bào ngư
abampere	bàn đạp
abandon	bỏ rơi
abandoned	bị bỏ rơi
abandonment	bỏ rơi
abarticulation	sự cắt bỏ
abase	hạ bệ
abased	hạ tiện
abasement	tầng hầm
abash	kinh tởm
abashed	bối rối
abashment	sự xấu hổ
abasia	mất trí nhớ
abasic	cơ bản
abate	bớt đi
abatement	giảm bớt
abating	dịu đi
abatis	chướng ngại vật
abatjour	thủ phạm
abattis	lò mổ
abattoir	lò mổ
abaxial	trục
abba	abba
abbacy	trụ sở
abbatial	tu viện
abbatical	người tu hành
abbatis	abbatis
abbe	tu sĩ
abbess	viện trưởng
abbey	tu viện
abbot	trụ trì
abbreviate	viết tắt
abbreviated	viết tắt
abbreviation	viết tắt
abbreviature	viết tắt
abc	abc
abcoulomb	bao bì
abdal	bụng
abderite	người bắt cóc
abdicable	thoái vị
abdicant	thoái vị
abdicate	từ chức
abdication	thoái vị
abdicator	người thoái vị
abditory	chán ăn
abditos	những kẻ bắt bớ
abdomen	bụng
abdominal	bụng
abdominocentesis	chọc dò ổ bụng
abdominoscope	soi ổ bụng
abdominoscopy	soi ổ bụng
abdominous	đầy bụng
abdominousness	chướng bụng
abdominovesical	bụng bàng quang
abduce	bắt cóc
abducent	bắt cóc
abduct	bắt cóc
abduction	bắt cóc
abductive	bắt cóc
abductor	kẻ bắt cóc
abeam	sườn tàu
abecedarian	người mới bắt đầu
abecedarius	abecedarius
abecedary	người lớn
abed	cái giường
abel	abel
abelia	phi lê
abelmoschus	abelmoschus
abelmosk	abelmosk
abends	uốn cong
aber	quang sai
aberdeen	Aberdeen
aberdevine	linh dương
aberrance	sai lệch
aberrant	khác thường
aberration	quang sai
abest	tốt nhất
abet	tiếp tay
abetalipoproteinemia	abetalipoprotein huyết
abetment	tiếp tay
abettor	người tiếp tay
abeunt	nhiều
abeyance	tạm dừng
abeyant	bên cạnh
abfarad	xa lạ
abhenry	kinh nguyệt
abhor	ghê tởm
abhorrence	ghê tởm
abhorrent	ghê tởm
abhorrer	kẻ gớm ghiếc
abibis	nơi trú ẩn
abidance	tuân thủ
abide	chịu đựng
abiding	tuân thủ
abidjan	abidjan
abience	sự kiên nhẫn
abient	xa lạ
abies	abies
abigail	bà bầu
abiit	abiit
abilities	khả năng
ability	khả năng
abiogenesis	sự hình thành tự nhiên
abiogenetic	sinh học
abiogenist	nhà sinh vật học
abiotrophy	teo cơ
abito	abito
abject	Khổ sở
abjection	từ chối
abjectly	một cách khốn khổ
abjectness	sự khốn khổ
abjunction	sự từ chối
abjuration	sự cắt bỏ
abjurationabjurement	sự hành hạ
abjure	từ bỏ
abkari	abkari
ablactation	tẩy chay
ablated	cắt bỏ
ablation	cắt bỏ
ablative	có thể cắt bỏ
ablaut	đột xuất
ablaze	bốc cháy
able	có thể
ablebodied	khỏe mạnh
ablegate	cổng có thể
ableism	chủ nghĩa có khả năng
ableness	khả năng
ablepharia	khả thi
ablepsia	khả năng
ablepsy	thần kinh
abloom	nở hoa
ablude	sự xa lánh
ablution	tẩy rửa
ablutionary	rửa tội
abnaki	sự ra đi
abnegation	hy sinh
abnegator	kẻ hủy diệt
abnormal	bất thường
abnormality	bất thường
abnormalize	làm bất thường
abnormally	bất thường
abnormis	bất thường
abnormity	dị thường
abnormous	dị thường
aboard	ở nước ngoài
abocclusion	loại trừ
abode	chỗ ở
abodement	chỗ ở
aboding	chỗ ở
abohm	gớm ghiếc
aboideau	nơi ở
abois	thổ dân
aboiteau	thổ dân
abolengo	bỏ đi
abolish	bỏ
abolishable	bãi bỏ
abolishment	bãi bỏ
abolition	bãi bỏ
abolitionary	bãi bỏ
abolitionism	chủ nghĩa bãi nô
abolitionist	người theo chủ nghĩa bãi nô
abolitionize	bãi bỏ
abomasal	ghê tởm
abomasum	dạ múi khế
abominable	ghê tởm
abominate	ghê tởm
abomination	ghê tởm
abominator	kẻ gớm ghiếc
aborad	nước ngoài
aboral	thổ dân
abord	từ bỏ
aboriginal	thổ dân
aborigine	thổ dân
aborigines	thổ dân
aborning	sinh ra
abort	Huỷ bỏ
aborticide	thuốc phá thai
abortifacient	gây sảy thai
abortion	sự phá thai
abortionist	người phá thai
abortive	phá thai
abortively	phá thai
abortus	sẩy thai
abound	rất nhiều
abounding	phong phú
about	Về
about-face	về mặt
abouts	về
above	bên trên
above-mentioned	nói trên
aboveboard	ngay thẳng
aboveground	trên mặt đất
abovementioned	nói trên
abovesaid	như đã nói ở trên
abovestairs	trên lầu
abra	áo bào
abracadabra	chữ viết hoa
abrachia	abrachia
abrade	mài mòn
abraded	mài mòn
abrader	người mài mòn
abraham	áp-ra-ham
abramis	Áp-ram
abranchiate	chi nhánh
abrasion	mài mòn
abrasive	mài mòn
abreast	ngang nhau
abrege	bỏ qua
abreption	sự rút gọn
abridge	rút ngắn
abridged	rút gọn
abridger	rút gọn
abridgment	sự rút gọn
abroach	đi lạc
abroad	ở nước ngoài
abrocoma	bệnh bạch tạng
abrocome	từ bỏ
abrogate	bãi bỏ
abrogated	bãi bỏ
abrogation	bãi bỏ
abronia	mất nước
abrupt	đột ngột
abruption	đột ngột
abruptly	đột ngột
abruptness	sự đột ngột
abruzzi	abruzzi
abscess	áp xe
abscessed	áp xe
abscind	bỏ trốn
abscision	bỏ trốn
abscissa	trục bỏ
abscission	bỏ trốn
abscond	bỏ trốn
absconder	bỏ trốn
abscondment	bỏ trốn
absence	vắng mặt
absens	vắng mặt
absent	vắng mặt
absentee	vắng mặt
absenteeism	vắng mặt
absently	lơ đãng
absentminded	đãng trí
absentmindedness	đãng trí
absento	vắng mặt
absents	vắng mặt
absinth	rượu ngâm
absinthe	rượu ngải cứu
absolute	tuyệt đối
absolutely	tuyệt đối
absoluteness	sự tuyệt đối
absolution	xá tội
absolutism	chủ nghĩa chuyên chế
absolutist	chuyên chế
absolve	xá tội
absolved	miễn tội
absolver	người giải tội
absolvitory	tuyệt đối
absolvitur	tuyệt đối
absonant	không rõ ràng
absonous	bất hiếu
absorb	hấp thụ
absorbable	hấp thụ được
absorbate	hấp thụ
absorbed	hấp thụ
absorbefacient	hấp thụ
absorbency	thấm hút
absorbent	hấp thụ
absorber	hấp thụ
absorbing	hấp thụ
absorption	sự hấp thụ
absorptivity	độ hấp thụ
absquatulate	bình đẳng hóa
abstain	kiêng cữ
abstainer	người kiêng cữ
abstemious	thái quá
abstemiously	tiết chế
abstemiousness	thái quá
abstention	kiêng khem
absterge	nói tắt
abstergent	làm say sưa
abstersion	sự kiêng khem
abstersive	ăn bám
abstinence	kiêng khem
abstinent	kiêng khem
abstract	trừu tượng
abstracted	trừu tượng hóa
abstractedly	một cách trừu tượng
abstractedness	tính trừu tượng
abstraction	trừu tượng
abstractionism	chủ nghĩa trừu tượng
abstractionist	người theo chủ nghĩa trừu tượng
abstractive	trừu tượng
abstractly	một cách trừu tượng
abstractness	sự trừu tượng
abstractor	người trừu tượng
abstruse	trừu tượng
abstrusely	một cách khó hiểu
absurd	ngớ ngẩn
absurdity	sự phi lý
absurdly	vô lý
absurdness	sự ngớ ngẩn
absurdum	vô lý
abudefduf	abudefduf
abulia	abulia
abulic	abulic
abuna	cá bơn
abundance	phong phú
abundant	dồi dào
abundanti	dồi dào
abundantly	phong phú
abuse	lạm dụng
abused	lạm dụng
abuser	kẻ ngược đãi
abusive	mắng nhiếc
abusively	ngược đãi
abut	trụ cầu
abutilon	abutilon
abutment	trụ cầu
abuttal	trụ cầu
abutter	bơ vơ
abutting	tiếp giáp
abuzz	xôn xao
abvolt	tuyệt đối
abwatt	tuyệt vời
aby	vực thẳm
abysm	vực thẳm
abysmal	vực thẳm
abyss	vực sâu
abyssal	vực thẳm
abyssinian	người abyssinian
ac	AC
acacia	cây keo
academia	hàn lâm
academic	học thuật
academical	academical
academically	một cách học thuật
academician	viện sĩ
academicianship	học thuật
academist	học giả
academy	học viện
acadia	học viện
acadian	học giả
acalypha	đài hoa
acanthaceae	acanthaceae
acanthisitta	acanthisitta
acanthocephala	acanthocephala
acanthocephalan	acanthocephalan
acanthocereus	acanthocereus
acanthocybium	acanthocybium
acanthocyte	tế bào gai
acanthocytosis	tăng bạch cầu gai
acanthoid	gai gai
acantholysis	tiêu gai
acanthoma	u gai
acanthophis	acanthophis
acanthopterygii	acanthopterygii
acanthoscelides	acanthoscelides
acanthosis	bệnh gai đen
acanthotic	bệnh gai đen
acanthuridae	acanthuridae
acanthurus	cây trắc bá diệp
acanthus	cây ô rô
acapnic	mất khả năng làm việc
acapulco	acapulco
acardia	tim mạch
acariasis	bệnh giun đũa
acariatre	người đánh đàn
acaricide	thuốc diệt muỗi
acarid	cây sơn tra
acaridae	acaridae
acarina	acarina
acarine	đầu gai
acaritre	cây sồi
acarophobia	chứng sợ acarophobia
acarpelous	hạt giống
acarpous	có trứng cá
acarus	acarus
acatalectic	dị ứng
acataphasia	mất ngôn ngữ
acathexia	chứng mất cảm giác
acathexis	acathexis
acaudate	uyên bác
acaulescent	tụ điện
accedas	gia nhập
accede	gia nhập
accelerando	tăng tốc
accelerate	Thúc giục
accelerated	tăng tốc
accelerating	tăng tốc
acceleration	sự tăng tốc
accelerative	gia tốc
accelerator	máy gia tốc
accelerometer	gia tốc kế
accension	gia nhập
accent	giọng
accented	có dấu
accentor	điểm nhấn
accents	trọng âm
accentual	trọng âm
accentuate	nhấn mạnh
accentuation	nhấn mạnh
accept	chấp nhận
accepta	chấp nhận
acceptability	khả năng chấp nhận
acceptable	chấp nhận được
acceptably	chấp nhận được
acceptance	chấp thuận
acceptation	chấp nhận
accepted	Đã được chấp nhận
accepting	chấp nhận
acception	chấp nhận
acceptive	chấp nhận
acceptor	người chấp nhận
access	truy cập
accessible	có thể truy cập
accession	gia nhập
accessional	bổ sung
accessorial	phụ kiện
accessory	phụ kiện
acciaccatura	xác xơ
accidence	tai nạn
accident	tai nạn
accident-prone	dễ bị tai nạn
accidental	tình cờ
accidentally	tình cờ
accidentalness	sự tình cờ
accidents	tai nạn
accipere	cây tầm bóp
accipient	người nhận
accipiter	người chấp nhận
accipitres	người nhận tội
accipitridae	acciitridae
accipitriformes	bộ Accipitriformes
accipitrine	accipitrine
acclaim	hoan hô
acclamate	tung hô
acclamation	hoan nghênh
acclimatization	thích nghi với khí hậu
acclimatize	thích nghi với khí hậu
acclivitous	thích nghi
acclivity	thích nghi
acclivous	thích nghi
accloy	phụ thuộc
accolade	giải thưởng
accommodate	chứa
accommodating	đáp ứng
accommodation	chỗ ở
accommodational	chỗ ở
accommodative	điều tiết
accomodation	chỗ ở
accompanied	kèm theo
accompaniment	nhạc đệm
accompanist	người đệm đàn
accompany	đồng hành
accompanying	kèm theo
accompli	đồng lõa
accomplice	tòng phạm
accomplish	hoàn thành
accomplishable	có thể hoàn thành
accomplished	hoàn thành
accomplishment	thành tích
accomplishments	thành tích
accompts	chấp nhận
accord	phù hợp
accordance	Tùy theo
accordant	phù hợp
accordian	đàn phong cầm
according	theo
accordingly	phù hợp
accordion	đàn phong cầm
accordionist	người chơi đàn phong cầm
accost	đi lại
accouchement	chỗ ở
accoucheur	người bồi bàn
accoucheuse	người giúp việc
account	tài khoản
accountability	trách nhiệm giải trình
accountable	chịu trách nhiệm
accountableness	trách nhiệm giải trình
accountancy	kế toán
accountant	kế toán viên
accountantship	kế toán
accounter	nhân viên kế toán
accounting	kế toán
accounts	tài khoản
accouple	nối tiếp
accouplement	sự nối tiếp
accousente	phụ tá
accouter	người sửa chữa
accoutered	trang bị
accouterment	đồ trang sức
accouterments	đồ trang sức
accoy	người đi cùng
accra	accra
accredit	công nhận
accreditation	công nhận
accredited	được công nhận
accretion	sự bồi tụ
accretionary	bồi đắp
accretive	bồi đắp
accrimination	sự buộc tội
accroach	tiếp cận
accrue	tích lũy
accrued	tích lũy
accrust	bồi đắp
accubation	sự buộc tội
accueil	tích lũy
accultural	văn hóa
acculturation	hòa nhập
acculturational	tiếp biến văn hóa
accumbent	dồn dập
accumulate	tích trữ
accumulated	tích lũy
accumulation	sự tích lũy
accumulative	tích lũy
accuracy	sự chính xác
accurate	chính xác
accurately	chính xác
accurse	nguyền rủa
accursed	đáng nguyền rủa
accusable	có thể buộc tội
accusation	buộc tội
accusative	buộc tội
accusatorial	buộc tội
accusatory	buộc tội
accuse	buộc tội
accused	bị buộc tội
accuser	người tố cáo
accusing	buộc tội
accusingly	buộc tội
accustom	quen
accustomary	quen thuộc
accustomed	quen
ace	át chủ
acebutolol	acebutolol
aceite	axêit
aceldama	aceldama
acentric	lệch tâm
acephalia	bệnh thiếu máu não
acephalous	bệnh não
acequia	acequia
acequiador	acequiador
acequiamadre	acequiamadre
acer	sơ ri
aceraceae	sơ ri
acerate	làm chua
aceration	sục khí
acerb	sơ ri
acerbate	làm trầm trọng thêm
acerbic	hiếu khí
acerbity	tính gay gắt
acerola	sơ ri
acervate	sâu răng
acervatim	acervatim
acervation	sự suy yếu
acervulus	sơ ri
acervus	sơ ri
acescent	có nguồn gốc
acetabular	ổ cối
acetabulum	ổ cối
acetal	axetal
acetaldehyde	axetanđehit
acetamide	axetat
acetaminophen	acetaminophen
acetanilide	axetanilid
acetate	axetat
acetic	axetic
acetone	axeton
acetonic	axeton
acetophenetidin	axetophenetidin
acetose	axeton
acetous	axeton
acetyl	axetyl
acetylcholine	axetylcholin
acetylene	axetilen
acetylenic	axetilen
acetylic	axetylic
achaean	achaea
achar	achar
acharn	acharn
acharne	acharne
acharnement	nhà thờ
achates	achates
ache	đau nhức
achene	nhức nhối
achenial	đau nhức
acheron	acheron
acheronian	tiếng acheronian
acherontia	acherontia
acherontis	acherontis
acheta	đau đầu
achievability	khả năng đạt được
achievable	có thể đạt được
achieve	đạt được
achievement	thành tích
achiever	người thành công
achillea	achillea
achillean	achillean
achilles	Achilles
achimenes	thành tựu
aching	nhức nhối
achira	achira
achivi	thành tích
achlamydeous	achlamydous
achlorhydria	achlorhydria
achlorhydric	achlorhydric
achoerodus	chim sẻ
acholia	cây mắc ca
achomawi	achomawi
achondrite	achondrite
achondritic	achondritic
achondroplasia	achondroplasia
achondroplastic	achondroplastic
achras	achras
achromatic	không màu
achromatin	achromatin
achromatinic	nhiễm sắc thể
achromatism	sự mất màu
achromatize	tiêu hóa
achromatous	vô sắc
achromia	mất sắc tố
achromic	vô sắc
achylia	achylia
acicula	quả hạch
acicular	hình kim
aciculate	nhọn hoắt
acid	axit
acid-fast	axit nhanh
acid-forming	tạo axit
acid-loving	ưa axit
acidemia	nhiễm toan máu
acidic	có tính axit
acidification	axit hóa
acidify	axit hóa
acidimetric	phép đo axit
acidimetry	định lượng axit
acidity	tính axit
acidophil	ưa axit
acidophilic	ưa axit
acidosis	nhiễm toan
acidotic	có tính axit
acidulate	axit hóa
acidulated	axit hóa
acidulous	hơi chua
acierta	acierta
aciform	aciform
acinaform	dạng acina
acinar	cây ngải cứu
aciniform	dạng củ
acinonyx	acinonyx
acinos	acinos
acinus	nang lông
acipenser	bình acipenser
acipenseridae	acipenseridae
ackee	ackee
acknowledge	thừa nhận
acknowledgeable	thừa nhận
acknowledged	thừa nhận
acknowledgement	nhìn nhận
acknowledgment	nhìn nhận
acme	acme
acne	mụn
acned	mụn trứng cá
acneiform	mụn trứng cá
acnidosporidia	acnidosporidia
acocanthera	acocanthera
acold	cảm lạnh
acology	biện hộ
acolothyst	nhà chế biến rượu
acolyte	thầy giúp lễ
acolyth	acolyth
acomia	bệnh hắc lào
aconcagua	cây mắc ca
aconite	aconite
aconitum	aconitum
acoraceae	acoraceae
acorea	acorea
acorn	quả sồi
acorus	cây kim ngân hoa
acousma	âm thanh
acoustic	âm học
acoustically	về mặt âm thanh
acoustician	nhà âm học
acoustics	âm học
acquaint	Làm quen
acquaintance	người quen
acquainted	hiểu biết
acquaintenace	người quen
acquaintend	làm quen
acquainting	làm quen
acquest	chinh phục
acquiesce	bằng lòng
acquiescence	bằng lòng
acquiescent	bằng lòng
acquirable	có được
acquire	giành được
acquired	mua
acquirement	mua lại
acquirements	mua lại
acquirer	người thâu tóm
acquiring	có được
acquirit	có được
acquisition	sự mua lại
acquisitions	mua lại
acquisitive	thâu tóm
acquisitiveness	khả năng thâu tóm
acquit	trắng án
acquitment	trắng án
acquittal	trắng án
acquittance	trắng án
acquitted	tha bổng
acrasiomycetes	acrasiomycetes
acre	mẫu Anh
acre-foot	mẫu Anh
acreage	diện tích
acres	đất cày cấy
acrid	chát
acrididae	Họ lê
acridity	độ chua
acridotheres	chát
acrilan	acrilan
acrimonious	chua cay
acrimony	sự gay gắt
acris	acris
acritical	chỉ trích
acritude	độ chát
acroama	acroama
acroamatic	acroamatic
acroamatical	acroamamatic
acroamatics	thể dục nhịp điệu
acroanesthesia	acroanesthesia
acroatic	nhào lộn
acrobat	diễn viên xiếc
acrobates	diễn viên nhào lộn
acrobatic	nhào lộn
acrobatics	nhào lộn
acrocarp	cá chép
acrocarpous	acrocarpous
acrocarpus	acrocarpus
